Search results:
    angular-ckeditor git://github.com/lemonde/angular-ckeditor.git
    angular-google-plus git://github.com/mrzmyr/angular-google-plus.git
    angular-modules git://github.com/chadhietala/Angular-Modules.git
    angular-chartjs-directive git://github.com/earlonrails/angular-chartjs-directive.git
    angular-spinkit git://github.com/Urigo/angular-spinkit.git
    angular-piwik git://github.com/mike-spainhower/bower-angular-piwik
    angular-paginate-anything git://github.com/begriffs/angular-paginate-anything.git
    angular-bootstrap-datepicker git://github.com/cletourneau/angular-bootstrap-datepicker.git
    angular-validation git://github.com/huei90/angular-validation.git
    ta-angularjs-slider git://github.com/nadavsamet/angularjs-slider.git
    angular-socket.io-mock git://github.com/nullivex/angular-socket.io-mock.git
    angular-localize git://github.com/blueimp/angular-localize.git
    ng-chartjs git://github.com/petermelias/angular-chartjs.git
    angular-dropdowns git://github.com/jseppi/angular-dropdowns.git
    extras.angular.plus git://github.com/AngularPlus/AngularPlus.git
    angular-checklist-model git://github.com/vitalets/checklist-model.git
    angular-date-time-input git://github.com/dalelotts/angular-date-time-input.git
    angular-nereid-auth git://github.com/openlabs/angular-nereid-auth.git
    angular-mousetrap git://github.com/khasinski/angular-mousetrap.git
    angular-meta git://github.com/Moonfuse/angular-meta.git
    angular-momentum-scroll git://github.com/wzr1337/bower-angular-momentum-scroll.git
    angular-auto-value git://github.com/johngeorgewright/angular-auto-value.git
    opentok-angular git://github.com/aullman/OpenTok-Angular.git
    angular-underscore-string git://github.com/tlvince/angular-underscore-string.git
    angular-directive.g-signin git://github.com/sirkitree/angular-directive.g-signin.git
    angular-sanitize-unstable git://github.com/srigi/bower-angular-sanitize-unstable.git
    angularD3 git://github.com/WealthBar/angular-d3.git
    angular-scrollable git://github.com/jtrussell/angular-scrollable.git
    Angular-localStorage git://github.com/agrublev/Angular-localStorage.git
    angular-bootstrap-affix git://github.com/maxisam/angular-bootstrap-affix.git
    angular-jwplayer git://github.com/ds62987/ng-jwplayer.git
    28.io-angularjs git://github.com/28msec/28.io-angularjs.git
    angular-primus git://github.com/neoziro/angular-primus.git
    angular-widget git://github.com/shahata/angular-widget.git
    angular-youtube-mb git://github.com/brandly/angular-youtube-embed.git
    angular-yandex-map git://github.com/tulov/angular-yandex-map.git
    angular-nanoscroller git://github.com/maxaon/angular-nanoscroller.git
    angular-tree git://github.com/dump247/angular.tree.git
    angular-animate.css git://github.com/kevin-smets/angular-animate.css
    angular-tablesort git://github.com/mattiash/angular-tablesort.git
    angular-native-picker git://github.com/alongubkin/angular-datepicker.git
    angular-gesture git://github.com/cotag/bower-angular-gesture.git
    angular-responsive-images-bower git://github.com/bgalek/angular-responsive-images.git
    angular-unicorn-directive git://github.com/btford/angular-unicorn-directive.git
    angular-stepper git://github.com/revolunet/angular-stepper.git
    angular-rails-resource git://github.com/FineLinePrototyping/dist-angularjs-rails-resource.git
    parse-angular-patch git://github.com/brandid/parse-angular-patch.git
    angular-dateparser git://github.com/dnasir/angular-dateParser.git
    angularjs-ordinal-filter git://github.com/jdpedrie/angularjs-ordinal-filter.git
    angular-daterangepicker git://github.com/fragaria/angular-daterangepicker.git
    angular-fileuploader git://github.com/benzen/angular-fileuploader.git
    ngSocket git://github.com/angular/ngSocket.git
    angularjs-viewhead git://github.com/apparentlymart/angularjs-viewhead.git
    angularjs-i18n git://github.com/ridertahiti/angularjs-i18n.git
    amitava82-angular-multiselect git://github.com/amitava82/angular-multiselect.git
    tc-angular-chartjs git://github.com/carlcraig/tc-angular-chartjs.git
    angular-themer git://github.com/fdomig/angular-themer.git
    angular-google-auth git://github.com/jackrabbitsgroup/angular-google-auth.git
    angular-dragndrop git://github.com/fisshy/angular-drag-drop.git
    bc-angular-services git://github.com/buttercoin/bc-angular-services.git
    angular-init git://github.com/gsklee/angular-init.git
    angular-selectize git://github.com/paolodm/angular-selectize.git
    angular-steps git://github.com/omichelsen/angular-steps.git
    angular-cache-buster git://github.com/saintmac/angular-cache-buster.git
    angular-x2js git://github.com/cesarbarone/angular-x2js.git
    angular-1.1.6 git://github.com/angular/angular.js
    angular-jquery-timepicker git://github.com/Recras/angular-jquery-timepicker.git
    angular-minicolors git://github.com/kaihenzler/angular-minicolors.git
    angular-forminput git://github.com/jackrabbitsgroup/angular-forminput.git
    angular-caser git://github.com/gsklee/angular-caser.git
    angular-foundation-colorpicker git://github.com/buberdds/angular-foundation-colorpicker.git
    angular-ui-multi-sortable git://github.com/mostr/angular-ui-multi-sortable.git
    angular-ui-tree-filter git://github.com/EE/angular-ui-tree-filter.git
    angular-bootstrap-checkbox git://github.com/sebastianha/angular-bootstrap-checkbox.git
    pusher-angular git://github.com/pusher/pusher-angular.git
    angular-io git://github.com/willfarrell/angular-io.git
    angular-crypto git://github.com/gdi2290/angular-crypto.git
    angular-array git://github.com/jackrabbitsgroup/angular-array.git
    angular-common git://github.com/clouddueling/angular-common.git
    angular-string git://github.com/jackrabbitsgroup/angular-string.git
    ng-messages git://github.com/yabasha/angular-messages
    angular-uploadBtn git://github.com/twilson63/angular-uploadBtn.git
    angular-pageslide-directive git://github.com/dpiccone/ng-pageslide.git
    angular-input-match git://github.com/interval-braining/angular-input-match.git
    angular-dragon-drop git://github.com/btford/angular-dragon-drop.git
    angular-mobile git://github.com/jonniespratley/angular-mobile.js
    angular-pull-to-refresh git://github.com/mgcrea/angular-pull-to-refresh.git
